UserName,AgeRange,Gender,Orientation,CurrentStatus,TogetherTime,RelationshipDescription,Value1,SelfValue1,PartnerValue1,Value2,SelfValue2,PartnerValue2,Value3,SelfValue3,PartnerValue3,Value4,SelfValue4,PartnerValue4,Value4,SelfValue5,PartnerValue5,Type1,PartnerType1,Type2,PartnerType2,Type3,PartnerType3,Type4,PartnerType4,Type5,PartnerType5,S_DecisionMakingProcess,QP_EmotionalIntelligence,Q_Jealous,Q_PartnerJealous,Q_Manipulative,QP_SexualChemistry,Q_AttractionLoss,Q_Suffocated,Q_Attention,Q_CouldDoBetter,Q_NotGoodEnough,QP_Longterm,QP_Independent,Q_Coping,QP_SelfCare,Q_EmotionallyDrained,Q_Depressed,Q_Abused,Q_PartnerAbuse,Q_ShutDown,Q_PartnerShutDown,Q_PrivacyRespected,Q_OnOff,Q_Judged,QP_Communication,Q_Controlled,Q_Trapped,QP_TrueToSelf,Q_ComparedToOthers,Q_MovedTooFast,Q_ShowOff,S1_LogicVsFeelings,S1_QuitsVsStays,S1_PracticalVsEmotional,S1_CompatibilityVsChemistry,S2_ImprovementVsAcceptance,S2_ShortcomingsVSAcceptance,S2_PickyVsPositives,S3_SocialAcceptanceVsDontCare,S3_SimilarVsDifferent,S4_LowStandardsVsHighStandards,S4_ImBetterVsMatch,S4_StayIfImBetterVsStayIfPartnerBetter
,25-34,Male,Heterosexual,It was a mutual break up.,6 months - 1 year,I thought we were a good match.,Honesty/Dependable/Reliable,7,4,Confidence/Self-Esteem,8,9,Family Values,8,5,Communication Style/Manners,9,9,Self-Care/Personal Hygiene/Cleanliness,10,10,Social/Outgoing/Extroverted,4,Generous/Thoughtful/Kind,6,Open-minded/Curious/Free-Spirited,5,Humorous/Witty/Clever,8,Passionate/Driven/Ambitious,10,63,I consider myself emotionally intelligent,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,,,,,I wished for something long-term,,,,I often felt emotionally drained,,I was verbally and/or emotionally abused,,,,,,,,,,,,,,48,17,55,17,0,85,15,0,49,81,85,88
,25-34,Male,Homosexual,We are currently together.,1-2 years,I thought we were a good match.,Confidence/Self-Esteem,5,4,Communication Style/Manners,4,7,Education/Knowledge/Street Smarts,5,6,Honesty/Dependable/Reliable,6,8,Family Values,4,7,Social/Outgoing/Extroverted,4,Generous/Thoughtful/Kind,8,Open-minded/Curious/Free-Spirited,8,Humorous/Witty/Clever,6,Body Shape/Height/Appearance,5,53,I consider myself emotionally intelligent,I was jealous,,,We had great sexual chemistry throughout the relationship,I was sexually/physically attracted in the beginning and lost it over time,,,,,,,,,,,,,,,,,,,,,,,,,37,69,51,49,67,37,64,44,27,73,75,52
,55-64,Male,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,9,10,Family Values,10,10,Education/Knowledge/Street Smarts,8,8,Image/Fashion Sense/Body Modification,8,8,Financial Choices,9,10,Body Shape/Height/Appearance,8,Generous/Thoughtful/Kind,10,Humorous/Witty/Clever,7,Sexual/Sensual,6,Intuitive/Good instinct/Emotionally Intelligent,6,75,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,77,17,51,51,50,52,22,27,12,93,84,51
,25-34,Male,Heterosexual,It was a mutual break up.,6 months - 1 year,I was slightly out of his/her league.,Education/Knowledge/Street Smarts,8,5,Occupation/Work Ethic/Self-Discipline,6,4,Pursuing a Greater Purpose,5,5,Social Status/Sociability,7,8,Financial Choices,6,5,Presence/Vibe,5,Social/Outgoing/Extroverted,7,Body Shape/Height/Appearance,6,Humorous/Witty/Clever,9,Generous/Thoughtful/Kind,7,49,I consider myself emotionally intelligent,,,,,I was sexually/physically attracted in the beginning and lost it over time,,,,,,,,,,,,,,,,We had on/off relationship/situationship,,,,,,,,,,,50,49,38,46,25,50,49,100,70,50
,55-64,Female,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Family Values,8,9,Honesty/Dependable/Reliable,9,9,Financial Choices,8,8,Occupation/Work Ethic/Self-Discipline,8,8,Education/Knowledge/Street Smarts,8,8,Beta/Easygoing/Mild-mannered,8,Body Shape/Height/Appearance,8,Humorous/Witty/Clever,7,Intuitive/Good instinct/Emotionally Intelligent,8,Open-minded/Curious/Free-Spirited,8,45,,I was jealous,,,,,,,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,53,51,45,53,47,48,91,18,36,49,82,54
,25-34,Male,Bisexual,It was a mutual break up.,1-2 years,I thought we were a good match.,Education/Knowledge/Street Smarts,7,8,Pursuing a Greater Purpose,7,8,Family Values,6,7,Self-Care/Personal Hygiene/Cleanliness,8,8,"Household Care, Maintenance and Cleanliness",6,6,Race/Ethnicity,9,Intuitive/Good instinct/Emotionally Intelligent,8,Over-giving/Over-forgiving/Subservient,6,Passionate/Driven/Ambitious,8,Generous/Thoughtful/Kind,7,86,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,I felt I could do better,I felt I was not good enough for him/her,I wished for something long-term,He/she encouraged me to be independent,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,51,49,21,51,47,54,57,44,43,50,51,49
,25-34,Female,Heterosexual,We are currently together.,1-2 years,He/She was very much out of my league,Pursuing a Greater Purpose,4,8,Education/Knowledge/Street Smarts,8,10,Communication Style/Manners,7,10,Artsy/Creative/Musical,8,9,Honesty/Dependable/Reliable,7,10,Intuitive/Good instinct/Emotionally Intelligent,10,Passionate/Driven/Ambitious,8,Humorous/Witty/Clever,10,Spontaneous/Unpredictable,8,Sexual/Sensual,10,50,I consider myself emotionally intelligent,,,He/she was manipulative,,,,,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,,,,I was able to stay true to my identity,,,,65,59,68,82,100,100,100,23,87,54,51,52
,25-34,Female,Heterosexual,I broke up with him/her.,1-2 years,I was slightly out of his/her league.,Occupation/Work Ethic/Self-Discipline,8,8,Honesty/Dependable/Reliable,10,9,Financial Choices,8,9,Education/Knowledge/Street Smarts,8,8,Confidence/Self-Esteem,7,7,Body Shape/Height/Appearance,7,Humorous/Witty/Clever,9,Generous/Thoughtful/Kind,10,Sexual/Sensual,5,Open-minded/Curious/Free-Spirited,8,35,I consider myself emotionally intelligent,,,,,,,,,,I wished for something long-term,,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,0,37,51,24,72,76,93,66,,50,32,52
,25-34,Male,Homosexual,We are currently together.,2-4 years,He/She was very much out of my league,Honesty/Dependable/Reliable,9,10,Family Values,7,9,Communication Style/Manners,5,7,Pursuing a Greater Purpose,8,10,Confidence/Self-Esteem,7,10,Presence/Vibe,10,Body Shape/Height/Appearance,10,Humorous/Witty/Clever,10,Passionate/Driven/Ambitious,10,Spontaneous/Unpredictable,3,9,,,,,We had great sexual chemistry throughout the relationship,,I often felt suffocated,,,I felt I was not good enough for him/her,,He/she encouraged me to be independent,,,,,,,I often shut down,,,,,We had good communication,,,,,,I often felt my partner was showing off,50,24,52,52,52,53,54,15,49,100,70,54
,18-24,Female,Bisexual,We are currently together.,6 months - 1 year,I thought we were a good match.,Honesty/Dependable/Reliable,7,7,Artsy/Creative/Musical,8,10,Pursuing a Greater Purpose,5,5,Social Status/Sociability,9,10,Communication Style/Manners,10,7,Humorous/Witty/Clever,10,Body Shape/Height/Appearance,10,Passionate/Driven/Ambitious,8,Beta/Easygoing/Mild-mannered,10,Social/Outgoing/Extroverted,8,14,I consider myself emotionally intelligent,,,,,,,,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,Often compared my partner to other people or other relationships,,,79,55,29,100,51,45,61,52,33,54,31,58
